CustomerId,Surname,Gender,Birth Date,City,Salary
15634602,Hargrave,Female,1979-12-18,Marseile,101348.88
15647311,Hill,Female,1980-08-15,Barcelona,112542.58
15619304,Onio,Female,1979-11-01,Marseile,113931.57
15701354,Boni,Female,1982-08-24,Marseile,93826.63
15737888,Mitchell,Female,1978-01-09,Barcelona,79084.1
15574012,Chu,Male,1977-06-07,Valencia,149756.71
15592531,Bartlett,Male,1971-12-17,Paris,10062.8
15656148,Obinna,Female,1992-10-22,Berlin,119346.88
15792365,He,Male,1977-10-20,Lyon,74940.5
15592389,H?,Male,1994-02-17,Paris,71725.73
15767821,Bearce,Male,1990-11-18,Paris,80181.12
15737173,Andrews,Male,1997-10-25,Seville,76390.01
15632264,Kay,Female,1987-08-17,Marseile,26260.98
15691483,Chin,Female,1996-12-04,Marseile,190857.79
15600882,Scott,Female,1986-10-22,Palma,65951.65
15643966,Goforth,Male,1976-12-13,Munich,64327.26
15737452,Romeo,Male,1963-07-21,Berlin,5097.67
15788218,Henderson,Female,1997-08-18,Barcelona,14406.41
15661507,Muldrow,Male,1976-03-14,Seville,158684.81
15568982,Hao,Female,1997-02-18,Paris,54724.03
15577657,McDonald,Male,1980-01-26,Paris,170886.17
15597945,Dellucci,Female,1989-05-10,Valencia,138555.46
15699309,Gerasimov,Female,1983-11-01,Valencia,118913.53
15725737,Mosman,Male,1975-06-03,Paris,8487.75
15625047,Yen,Female,1983-01-17,Paris,187616.16
15738191,Maclean,Male,1996-01-05,Paris,124508.29
15736816,Young,Male,1985-09-07,Hamburg,170041.95
15700772,Nebechi,Male,1977-03-11,Paris,38433.35
15728693,McWilliams,Female,1978-03-22,Hamburg,100187.43
15656300,Lucciano,Male,1992-02-09,Paris,53483.21
15589475,Azikiwe,Female,1982-05-17,Palma,140469.38
15706552,Odinakachukwu,Male,1985-12-23,Paris,156731.91
15750181,Sanderson,Male,1980-05-31,Berlin,81898.81
15659428,Maggard,Female,1979-06-21,Barcelona,34410.55
15732963,Clements,Female,1992-05-04,Valencia,142033.07
15794171,Lombardo,Female,1976-09-28,Lyon,27822.99
15788448,Watson,Male,1990-11-21,Seville,114066.77
15729599,Lorenzo,Male,1988-02-11,Valencia,98453.45
15717426,Armstrong,Male,1985-06-25,Lyon,40812.9
15585768,Cameron,Male,1980-07-01,Hamburg,178074.04
15585768,Cameron,Male,1980-07-01,Hamburg,178074.04
15619360,Hsiao,Male,1981-07-19,Madrid,70154.22
15738148,Clarke,Female,1970-06-12,Nice,181297.65
15687946,Osborne,Female,1960-11-20,Paris,94153.83
15755196,Lavine,Female,1972-10-21,Paris,194365.76
15684171,Bianchi,Female,1960-03-05,Barcelona,158338.39
15754849,Tyler,Female,1989-08-03,Hamburg,126517.46
15754849,Tyler,Female,1989-08-03,Hamburg,126517.46
15602280,Martin,Female,1994-01-06,Munich,119708.21
15771573,Okagbue,Female,1982-08-16,Berlin,117622.8
15766205,Yin,Male,1983-06-07,Berlin,90878.13
15771873,Buccho,Female,1984-01-30,Berlin,194099.12
15616550,Chidiebele,Male,1977-12-13,Berlin,198059.16
15768193,Trevisani,Male,1985-06-15,Berlin,86424.57
15683553,O'Brien,Female,1988-04-18,Paris,116978.19
15702298,Parkhill,Male,1980-11-06,Hamburg,164040.94
15569590,Yoo,Male,1979-06-13,Hamburg,40014.76
15760861,Phillipps,Male,1978-06-10,Paris,113410.49
15630053,Tsao,Male,1976-04-14,Lyon,87107.57
15647091,Endrizzi,Male,2002-08-05,Berlin,45613.75
15623944,T'ien,Female,1955-12-13,Seville,1643.11
15804771,Velazquez,Male,1970-05-11,Paris,46775.28
15651280,Hunter,Male,1986-04-10,Hamburg,84509.57
15773469,Clark,Female,1994-02-09,Berlin,126494.82
15702014,Jeffrey,Male,1988-03-25,Valencia,178798.13
15751208,Pirozzi,Male,1965-01-06,Barcelona,99398.36
15592461,Jackson,Male,1995-07-03,Hamburg,92840.67
15789484,Hammond,Female,1985-02-19,Munich,27758.36
15696061,Brownless,Female,1987-02-21,Hamburg,110431.51
15641582,Chibugo,Male,1978-07-29,Berlin,196673.28
15638424,Glauert,Female,1986-04-02,Berlin,113656.85
15755648,Pisano,Female,2000-08-13,Marseile,18203
15703793,Konovalova,Male,1963-08-19,Berlin,28373.86
15620344,McKee,Male,1992-11-05,Paris,33953.87
15812518,Palermo,Female,1984-10-21,Valencia,44203.55
15779052,Ballard,Female,1996-01-09,Hamburg,58426.81
15770811,Wallace,Male,1985-05-23,Paris,145562.4
15780961,Cavenagh,Female,2000-03-27,Paris,22388
15614049,Hu,Male,1966-05-07,Paris,139161.64
15662085,Read,Female,1989-07-10,Paris,148210.64
15575185,Bushell,Male,1988-06-16,Granada,194239.63
15803136,Postle,Female,1980-07-11,Hamburg,98301.61
15706021,Buley,Female,1987-02-14,Nice,171413.66
15663706,Leonard,Female,1989-06-11,Paris,136458.19
15641732,Mills,Female,1985-08-27,Marseile,26019.59
15701164,Onyeorulu,Female,1987-01-23,Paris,159235.29
15738751,Beit,Female,1975-04-16,Paris,1907.66
15805254,Ndukaku,Female,1946-04-07,Madrid,114675.75
15762418,Gant,Male,1999-01-12,Madrid,128643.35
15625759,Rowley,Male,1991-02-28,Marseile,151869.35
15622897,Sharpe,Female,1975-02-02,Nice,93251.42
15767954,Osborne,Female,1993-01-05,Berlin,156791.36
15757535,Heap,Female,1977-03-17,Barcelona,174205.22
15731511,Ritchie,Male,1976-11-21,Lyon,147132.46
15809248,Cole,Female,1985-04-07,Paris,109614.57
15640635,Capon,Male,1992-06-07,Paris,172290.61
15676966,Capon,Male,1979-04-24,Barcelona,85982.47
15699461,Fiorentini,Male,1986-05-02,Madrid,
15738721,Graham,Male,1980-03-06,Barcelona,64595.25
15693683,Yuille,Male,1992-10-11,Berlin,197276.13
15604348,Allard,Male,1999-02-12,Barcelona,99645.04
15633059,Fanucci,Male,1987-08-13,Marseile,6534.18
15808582,Fu,Female,1981-09-18,Paris,161848.03
15743192,Hung,Female,1977-05-23,Marseile,167162.43
15580146,Hung,Male,1990-02-11,Paris,41970.72
15776605,Bradley,Male,1985-09-24,Madrid,60536.56
15804919,Dunbabin,Female,1956-11-17,Madrid,177655.68
15613854,Mauldon,Female,1975-07-19,Madrid,30984.59
15599195,Stiger,Male,1989-07-14,Berlin,10054.53
15812878,Parsons,Female,1985-04-06,Berlin,36976.52
15602312,Walkom,Male,1988-12-28,Granada,71862.79
15744689,T'ang,Male,1986-02-06,Munich,99449.86
15803526,Eremenko,Male,1991-09-12,Berlin,63082.88
15665790,Rowntree,Male,1982-08-08,Hamburg,27231.26
15715951,Thorpe,Male,1979-05-28,Marseile,86797.41
15591100,Chiemela,Male,1985-08-29,Barcelona,22994.32
15609618,Fanucci,Male,1993-09-24,Berlin,101300.94
15675522,Ko,Female,1991-01-23,Hamburg,74169.13
15705512,Welch,Female,1984-02-17,Hamburg,115638.29
15698028,Duncan,Female,1980-11-25,Paris,31766.3
15661670,Chidozie,Female,1990-04-18,Hamburg,199725.39
15600781,Wu,Male,1987-10-07,Berlin,120834.48
15682472,Culbreth,Male,1987-11-22,Paris,38131.77
15580203,Kennedy,Male,1982-07-13,Madrid,100130.95
15690673,Cameron,Female,1982-01-13,Paris,141069.88
15760085,Calabresi,Female,1973-09-29,Hamburg,198129.36
15779659,Zetticci,Female,1993-03-04,Paris,183646.41
15627360,Fuller,Male,1979-03-30,Paris,110265.24
15671137,MacDonald,Female,1969-04-12,Paris,8636.05
15782688,Piccio,Male,1965-10-26,Hamburg,46824.08
15575492,Kennedy,Female,1980-01-06,Paris,171378.77
15591607,Fernie,Male,1997-08-16,Paris,167256.35
15740404,He,Female,1987-12-31,Paris,124226.16
15718369,Kaodilinakachukwu,Female,1988-06-23,Berlin,114935.21
15677871,Cocci,Male,1983-09-30,Lyon,35608.88
15642004,Alekseeva,Male,1996-08-15,Marseile,16459.37
15712543,Chinweike,Male,1982-01-15,Berlin,124411.08
15584518,Arthur,Female,1971-09-07,Hamburg,34941.23
15802381,Li,Female,1987-06-30,Hamburg,167784.28
15610156,Ma,Male,1981-09-11,Marseile,93165.34
15594408,Chia,Female,1973-07-19,Barcelona,75161.25
15640905,Vasin,Female,1986-02-07,Seville,8590.83
15640905,Vasin,Female,1986-02-07,Seville,8590.83
15698932,Groves,Male,1977-10-31,Hamburg,189543.9
15724944,Tien,Male,1987-02-20,Paris,180427.24
15628145,Forwood,Female,1978-10-27,Paris,193318.33
15713483,Greeves,Male,1969-10-12,Madrid,159123.82
15612350,Taylor,Female,1990-12-31,Marseile,126213.84
15800703,Madukwe,Female,2000-05-30,Seville,54141.5
15705707,Bennelong,Female,1992-11-25,Granada,141075.51
15754105,Olisanugo,Male,1984-08-09,Paris,24495.03
15703264,Chukwufumnanya,Male,1977-01-04,Paris,74836.34
15794413,Harris,Male,1989-07-13,Paris,878.87
15650237,Morgan,Female,1989-01-17,Madrid,89520.75
15759618,Alexeeva,Female,1973-05-04,Marseile,149892.79
15811589,Metcalfe,Male,1979-04-09,Palma,180800.42
15689044,Humphries,Male,1984-09-24,Lyon,98646.22
15709368,Milne,Female,1978-06-18,Paris,109041.53
15679145,Chou,Male,1964-12-31,Madrid,17941.16
15655007,Li,Female,1988-07-12,Paris,82996.47
15655007,Li,Female,1988-07-12,Paris,82996.47
15655007,Li,Female,1988-07-12,Paris,82996.47
15623595,Clayton,Female,1993-07-23,Barcelona,92067.35
15589975,Maclean,Female,1948-11-18,Paris,104719.66
15804017,Chigolum,Female,1988-09-19,Munich,112687.57
15692132,Wilkinson,Female,1999-08-15,Madrid,84699.56
15641122,Wei,Male,1991-08-21,Nice,83473.82
15630910,Treacy,Female,1972-02-02,Paris,47125.11
15680772,Hu,Female,1985-01-14,Barcelona,106977.8
15658929,Taverner,Male,1992-01-03,Barcelona,55582.54
15585388,Sherman,Male,1990-01-17,Berlin,139874.43
15724623,Taubman,Female,1997-01-31,Berlin,162503.48
15588537,Robinson,Female,1980-09-05,Barcelona,196499.96
15574692,Pinto,Female,1982-01-14,Madrid,40721.24
15611325,Wood,Male,1997-02-09,Berlin,53134.3
15587562,Hawkins,Female,1992-04-27,Paris,164017.89
15613172,Sun,Male,1994-06-17,Berlin,155996.96
15651022,Yost,Male,1977-08-23,Hamburg,5472.7
15586310,Ting,Male,1991-01-17,Paris,112187.11
15625524,Rowe,Male,1981-05-20,Marseile,146457.83
15755209,Fu,Female,1986-01-23,Barcelona,27286.1
15645248,Ho,Female,1991-07-27,Paris,130553.47
15790355,Okechukwu,Male,1985-05-31,Berlin,179351.89
15762615,Campbell,Female,1981-07-20,Barcelona,94774.12
15625426,Ashbolt,Female,1966-08-25,Berlin,8080.85
15716334,Rozier,Female,1976-03-12,Madrid,19482.5
15789669,Hsia,Male,1956-11-19,Paris,48071.61
15621075,Ogbonnaya,Female,1976-12-04,Munich,174531.27
15810845,T'ang,Male,1979-04-01,Paris,55470.78
15719377,Cocci,Female,1971-10-09,Paris,8546.87
15654506,Chang,Male,1989-02-15,Paris,95857.18
15771977,T'ao,Female,1982-03-07,Paris,194945.8
15708710,Ford,Female,1984-11-30,Barcelona,131521.72
15726676,Marshall,Male,1991-03-03,Valencia,196108.51
15587421,Tsai,Female,1987-01-08,Berlin,148564.76
15726931,Onwumelu,Female,1980-07-16,Nice,92982.61
15771086,Graham,Female,1985-05-13,Paris,17675.36
15756850,Golovanov,Male,1981-04-19,Paris,114996.43
15702741,Potts,Male,1989-06-06,Paris,86957.42
15679200,Crawford,Male,1992-04-07,Barcelona,128077.8
15594815,Aleshire,Male,1986-10-28,Paris,600.36
15635905,Moran,Female,1989-12-01,Madrid,43001.46
15777892,Samsonova,Male,1984-01-15,Berlin,158591.12
15656176,Jenkins,Male,1964-11-16,Paris,47847.19
15811127,Volkov,Male,1986-02-23,Paris,10488.44
15604482,Chiemezie,Male,1991-12-28,Madrid,5978.2
15622911,Jude,Male,1979-08-21,Paris,121409.06
15600974,He,Male,1971-03-12,Valencia,146145.93
15727868,Onuora,Female,1983-03-23,Lyon,14374.86
15627801,Ginikanwa,Male,1988-08-03,Madrid,94670.77
15773039,Ku,Male,1984-03-16,Marseile,179670.31
15755262,McDonald,Female,1980-08-20,Madrid,199304.74
15679531,Collins,Male,1987-11-11,Paris,151954.39
15684181,Hackett,Male,1976-01-12,Paris,142513.5
15612087,Dike,Male,1976-12-22,Paris,158264.62
15752047,Trevisano,Male,1988-05-11,Munich,169381.9
15624592,Tan,Male,1990-12-09,Marseile,169915.02
15573152,Glassman,Female,1980-03-18,Marseile,88852.47
15594917,Miller,Female,1987-04-26,Paris,40645.81
15785542,Kornilova,Male,1995-06-14,Hamburg,60427.3
15723488,Watson,Male,1974-10-23,Munich,157959.02
15680920,Marchesi,Male,1975-01-05,Paris,133007.34
15786308,Millar,Female,1988-01-07,Madrid,176576.62
15659366,Shih,Male,1978-12-11,Paris,34888.04
15774854,Fuller,Male,1967-03-30,Paris,28737.71
15725311,Hay,Female,1990-04-03,Paris,98178.57
15787155,Yang,Male,1991-11-28,Barcelona,125010.24
15727829,McIntyre,Male,1979-03-10,Paris,167984.61
15733247,Stevenson,Male,1988-02-29,Marseile,4861.72
15568748,Poole,Male,1976-12-15,Berlin,108872.45
15699029,Bagley,Male,1984-06-08,Paris,198252.88
15774393,Ch'ien,Female,1991-03-21,Paris,26960.31
15676895,Cattaneo,Female,1982-08-15,Hamburg,85746.52
15637753,O'Sullivan,Male,1971-06-17,Hamburg,77206.25
15605461,Lucas,Female,1992-12-13,Berlin,61048.53
15808473,Ringrose,Male,1949-08-23,Marseile,111981.19
15627000,Freeman,Male,1981-04-04,Marseile,62232.6
15787174,Sergeyev,Female,1984-09-09,Marseile,156105.03
15723886,Fiore,Male,2001-10-24,Munich,150135.38
15704769,Smith,Female,1954-01-02,Paris,93146.11
15772896,Dumetochukwu,Male,1979-05-26,Munich,33462.94
15711540,Pacheco,Female,1992-11-16,Marseile,144375
15764866,Synnot,Female,1978-08-12,Hamburg,55803.96
15794056,Johnston,Female,1975-12-19,Paris,89048.46
15795149,Stevens,Male,1993-08-10,Paris,162812.16
15812009,Grant,Male,1983-01-30,Madrid,136259.65
15651001,Tsao,Female,1982-10-04,Munich,124052.97
15813844,Barnes,Male,1984-02-24,Marseile,74158.8
15596175,McIntosh,Male,1954-04-08,Berlin,45071.09
15576269,Madison,Male,1987-04-13,Seville,62030.06
15797219,Ifesinachi,Female,1981-10-18,Nice,131953.23
15685500,Glazkov,Male,1995-04-16,Berlin,79414
15599792,Dimauro,Female,1995-03-08,Paris,199638.56
